filename,timestamp,title,artists,album,acrid,played_duration,label,isrc,upc,dezzer,spotify,itunes,youtube,custom_files_title,audio_id
/root/Que/que/audio_files/uploadedFile.mp3,01 00:08:30,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:08:40,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:08:50,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:09:00,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:09:10,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:09:20,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:09:30,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:09:40,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:09:50,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:10:00,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:10:10,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:10:20,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:10:30,Shallow,"Lady Gaga,Bradley Cooper",Shallow,86f5d1b47b8524f473fce8f43b0b8629,,A Star is Born OST,,,,,,,,
