filename,timestamp,title,artists,album,acrid,played_duration,label,isrc,upc,dezzer,spotify,itunes,youtube,custom_files_title,audio_id
/root/Que/que/audio_files/22,01 00:00:00,In Common,Alicia Keys,In Common,64b54238da53883ff087abc6bcc5e6f3,,RCA Records Label,,,,,,,,
/root/Que/que/audio_files/22,01 00:00:20,Hit 'Em Up,2Pac,2Pac Greatest Hits,ce2aaee0ba41c85ac65fa4ce98edd09f,,Digital,,,,,,,,
/root/Que/que/audio_files/22,01 00:00:40,Drop It Like It's Hot,Snoop Dogg,Drop It Like It's Hot,56d9cc4d8bbde674dec443bfebb9dff2,,Universal Music,,,,,,,,
